Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Hour
1,0,1,4,0,1,5,2,1,6,2,5,5,0,0,3,2,6,-1.510941766626499,-0.5442638586190858,2,0,0,1,1,5,10,8
3,0,1,4,0,2,7,2,1,6,1,5,5,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,2,0,0,1,6,9,17
0,0,1,1,0,2,0,2,3,6,4,5,5,1,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,1,0,1,1,5,3,22
3,0,1,1,0,0,4,2,1,2,0,5,5,0,0,0,2,2,-0.059060765005841856,-0.5442638586190858,1,0,1,0,2,5,1,22
4,0,1,4,0,2,0,2,1,8,1,5,1,0,0,3,2,5,-0.059060765005841856,0.44864884805439376,2,0,1,0,2,5,10,13
1,1,1,4,0,1,5,2,0,6,1,5,1,2,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,2,1,0,2,6,1,8
5,1,1,4,0,4,5,2,1,10,5,5,5,0,3,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,7,16
5,1,1,2,1,2,5,2,1,6,0,5,1,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,10,8
0,0,1,1,0,2,3,2,1,6,2,5,5,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,12,15
6,1,1,1,1,0,13,2,1,2,5,5,0,0,0,3,2,6,-1.510941766626499,-0.5442638586190858,8,0,1,0,2,5,11,15
4,1,1,4,0,3,0,2,0,6,4,7,1,0,3,3,6,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,12,10
3,1,1,1,0,1,8,0,1,6,2,5,1,0,0,0,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,1,22
0,0,1,4,0,2,0,2,1,6,2,5,2,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,2,1,0,2,5,1,7
0,0,1,1,0,3,5,2,1,6,2,6,1,0,0,3,2,6,-0.059060765005841856,0.44864884805439376,2,1,1,0,2,5,12,13
2,0,1,4,0,3,3,2,2,6,2,5,5,1,3,0,2,6,-0.059060765005841856,0.44864884805439376,2,2,1,4,2,0,10,19
5,0,1,4,0,3,5,2,1,1,2,5,1,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,0,1,2,5,11,14
0,0,1,2,0,4,0,2,1,6,4,5,0,0,0,3,2,6,-0.059060765005841856,1.4415615547278733,2,0,1,0,2,5,11,10
5,3,1,4,0,2,0,2,1,6,5,5,5,0,3,0,3,6,-0.059060765005841856,-0.5442638586190858,2,0,1,1,2,5,10,17
0,0,1,4,0,4,9,2,1,6,5,5,1,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,11,18
5,2,1,4,1,2,7,2,1,2,2,5,5,2,3,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,1,13
0,0,1,4,0,2,0,2,1,2,3,5,0,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,0,9
1,0,1,4,0,2,4,2,1,6,1,5,1,0,0,3,2,6,-0.059060765005841856,0.44864884805439376,2,0,1,0,2,5,11,16
2,3,1,4,1,3,5,2,1,6,0,5,1,0,0,0,2,6,2.8447012382354724,-0.5442638586190858,2,0,1,1,2,5,10,22
2,2,1,1,1,2,6,2,1,6,2,5,1,0,0,2,2,6,-1.510941766626499,-0.5442638586190858,2,0,1,0,2,5,10,23
6,0,1,4,0,2,5,2,1,2,1,5,0,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,6,0,1,0,2,5,12,11
6,0,1,4,1,1,0,2,1,6,2,5,1,0,3,0,2,6,1.3928202366148152,0.44864884805439376,2,0,1,0,2,5,9,16
3,2,1,1,0,1,0,2,1,6,2,5,0,0,0,3,2,0,-0.059060765005841856,-0.5442638586190858,6,0,0,3,2,5,10,9
1,2,1,4,0,0,9,0,0,6,2,5,5,0,0,3,2,6,-0.059060765005841856,0.44864884805439376,2,0,1,0,2,5,3,14
4,1,1,4,0,3,0,2,1,6,4,5,1,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,6,0,0,1,2,5,12,17
3,1,1,4,0,2,5,2,1,6,2,5,5,0,0,3,2,6,-1.510941766626499,-0.5442638586190858,2,0,1,0,2,5,12,21
1,1,1,4,0,2,4,2,3,6,4,5,5,0,0,3,2,1,-0.059060765005841856,-0.5442638586190858,2,1,1,4,2,5,0,12
4,3,1,0,0,2,0,2,1,6,2,5,5,0,0,3,2,6,-0.059060765005841856,0.44864884805439376,2,0,1,4,2,5,10,7
0,1,0,4,0,3,0,2,1,6,2,5,5,0,0,0,2,6,-0.059060765005841856,1.4415615547278733,1,0,1,0,2,5,12,17
5,1,1,4,1,2,0,2,2,4,5,5,5,0,0,3,2,6,1.3928202366148152,-0.5442638586190858,0,1,0,4,2,5,1,10
3,2,1,5,0,2,7,2,3,2,2,4,1,2,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,10,9
1,0,1,1,1,3,8,2,1,6,2,5,1,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,8,0,1,0,2,5,3,8
2,0,1,4,0,4,0,0,1,2,2,5,5,0,0,3,2,6,-1.510941766626499,-0.5442638586190858,2,0,1,1,2,5,9,16
2,1,1,4,0,2,13,2,2,2,5,5,5,0,0,3,2,6,-1.510941766626499,0.44864884805439376,2,2,0,4,2,5,4,18
3,1,1,4,0,2,9,2,1,6,2,5,1,0,0,3,2,6,-0.059060765005841856,2.434474261401353,2,0,1,0,2,5,10,10
4,0,1,2,0,5,14,2,1,6,2,5,1,0,2,3,5,6,-0.059060765005841856,3.427386968074832,2,2,0,1,2,6,0,12
6,1,1,4,1,3,4,2,1,11,2,5,5,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,3,20
5,1,1,1,0,2,9,2,1,2,4,5,0,0,3,3,2,6,2.8447012382354724,4.420299674748312,3,0,1,0,2,5,10,11
4,1,1,4,0,1,0,0,4,8,2,5,5,0,0,3,2,6,-0.059060765005841856,0.44864884805439376,2,0,1,0,2,5,1,8
0,1,1,4,0,1,5,2,1,8,5,5,5,0,0,3,2,2,-0.059060765005841856,-0.5442638586190858,8,0,1,0,2,5,1,15
6,0,1,4,0,2,5,2,1,6,4,5,5,0,0,3,2,5,-1.510941766626499,-0.5442638586190858,2,0,0,3,2,5,1,16
5,0,1,1,1,2,7,2,3,3,2,5,5,0,0,3,2,6,-0.059060765005841856,0.44864884805439376,2,0,1,3,1,5,12,8
0,0,0,4,0,2,7,2,1,4,4,5,5,2,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,3,9
4,0,1,4,0,3,12,2,1,6,0,5,5,0,3,3,3,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,0,5
0,1,1,4,0,2,8,2,0,6,5,5,1,0,3,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,2,15
1,3,1,4,0,2,5,2,1,6,4,5,5,0,0,0,2,5,-0.059060765005841856,-0.5442638586190858,2,1,0,3,2,5,1,17
5,0,1,4,0,1,7,2,1,2,4,5,1,0,0,0,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,0,18
2,1,1,4,1,1,0,2,1,6,2,5,0,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,16,14
1,0,1,1,0,2,0,2,3,6,2,5,0,2,0,3,2,6,-0.059060765005841856,1.4415615547278733,2,0,1,0,2,5,3,13
2,1,1,4,0,2,9,2,1,6,4,5,5,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,4,2,5,0,18
0,0,1,4,0,0,10,2,1,6,4,5,5,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,1,2,5,4,9
